"@id ","O11 Eqp Manufacturer ","O11 Eqp Model ","O11 Eqp Model Num ","O11 Eqp Description ","O11 Eqp Memory ","O11 Eqp Harddrive ","O11 Eqp Processor ","O11 Eqp Features ","O11 Eqp Accessories ","O11 Eqp Toner Type ","O11 Eqp Purchase Date ","O11 Eqp Warrenty Type ","O11 Eqp Warrenty Length ","O11 Eqp Warrenty End Date ","O11 Eqp Lease Term ","O11 Eqp Term Length ","O11 Eqp Lease End Date ","O11 Eqp Service Type ","O11 Eqp Service Vendor ","O11 Eqp Service Start Date ","O11 Eqp Service Length ","O11 Eqp Type "
"iPhone2009_8","Apple","iPhone","MB702LL-A","FY2009 iPhone 8 GB Model","","8 GB","","","USB 2.0 cable","","2008-08-20","Apple Limited Warranty","1 YEAR","2009-08-19","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"D600e","Dell","Latitude","D600e","FY2005 - 5th Shipment","512 MB DDR PC2100 SDRAM","40GB EIDE/ATA 100 5400 rpm","1.4 GHz Intel Pentium M","14.1"" SXGA TFT LCD","65-Watt AC Power Adapter","","2004-05-11","Next Day Business Day On-Site","3 YEAR","2007-05-12","","","","","","","","Laptop"
"","","","","","","","","TrueMobile 1400 ABG Wireless","Ethernet Cable","","","","","","","","","","","","",""
"","","","","","","","","10/100/1000 Ethernet LAN ","","","","","","","","","","","","","",""
"","","","","","","","","56K v.92 Internal Modem","","","","","","","","","","","","","",""
"","","","","","","","","CD-RW/DVD Combo Drive","","","","","","","","","","","","","",""
"","","","","","","","","USB 2.0","","","","","","","","","","","","","",""
"D610g","Dell","Latitude","D610g","FY2006 - Third Shipment","1 GB DDR2 PC2400 SDRAM","60GB EIDE/ATA 100 7200 rpm","2.13 GHz Intel Pentium M","14.1"" SXGA TFT LCD","65-Watt AC Power Adapter","","2005-08-11","Next Day Business Day On-Site","3 YEAR","2008-08-10","","","","","","","","Laptop"
"","","","","","","","","10/100/1000 Ethernet LAN ","Ethernet Cable","","","","","","","","","","","","",""
"","","","","","","","","56K v.92 Internal Modem","","","","","","","","","","","","","",""
"","","","","","","","","CD-RW/DVD Combo Drive","","","","","","","","","","","","","",""
"","","","","","","","","USB 2.0","","","","","","","","","","","","","",""
"","","","","","","","","Intel PRO/Wireless 2915 ABG","","","","","","","","","","","","","",""
"860U","Eiki","860U","LC-SVGA860U","Eiki Projector","","","","","","","","","","","","","","","","","","Projector"
"LJ 4100TN","HP","LJ 4100TN","","HP 4100TN Laserjet Printer","","","","","","","","","","","","","","","","","","Printer"
"5900U","Sony","5900U","VPL-5900U","Sony VPL-5900U Projector","","","","","","","","","","","","","","","","","","Projector"
"MBP15M09a","Apple","MacBook Pro","MBP15M09a","FY2010 MacBook Pro 15 Mid 2009","4GB 1066 DDR3","320 GB 5400RPM","2.66 GHz Core 2 Duo","SuperDrive","Power Adapter","","2009-06-15","Apple Limited Warranty","1 YEAR","2012-06-15","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","GeForce 9400M and  9600M GT","","","","","","","","","","","","","",""
"iMac20E09a","Apple","iMac","iMac20E09a","FY 2010 iMAC  20""  LCD","2 x 1 GB","320 GB","2.66 GHz","","","","2009-07-29","Apple Care","1 YEAR","2010-07-28","","","","","","","","Desktop"
"iPh3GS_2010_32","Apple","iPhone","MC137LL-A","FY2010 iPhone 3GS 32 GB Model","","16 GB","","","USB 2.0 cable","","2009-08-17","Apple Limited Warranty","1 YEAR","2010-08-16","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"MB13M09c","Apple","MacBook","MB13M09c","FY2010 MacBook Mid 2009","2GB 800 DDR2","160 GB","2.0 GHz Core Duo","DVD-RW","Power Adapter","","2009-09-02","Apple Limited Warranty","1 YEAR","2010-09-01","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-DVI to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","GeForce 9400M","","","","","","","","","","","","","",""
"iPod_2010_8x","Apple","iPod Touch","MC086LL-A","FY2010 iPod G3 8GB Exchange","","8 GB","","","USB 2.0 cable","","2009-09-09","Apple Limited Warranty","1 YEAR","2010-09-08","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"MB13E08","Apple","MacBook","MB13E08","FY2009 Test Model MacBook","2GB 667 DDR2","160 GB","2.4 GHz Core Duo","DVD-RW","Power Adapter","","2008-03-05","Apple Limited Warranty","1 YEAR","2009-03-04","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","","","","","","","","","","","","","",""
"iPodTouch2009b","Apple","iPod Touch","MA627LL-B","FY2009 iPod Touch Model B","","16 GB","","","USB 2.0 cable","","2008-08-23","Apple Limited Warranty","1 YEAR","2009-08-22","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"MBP15E08d","Apple","MacBook Pro","MBP15E08d","FY2009 MacBook Pro 3rd NSO","2GB 667 DDR2","200 GB","2.4 GHz Core 2 Duo","DVD-RW","Power Adapter","","2008-08-31","Apple Limited Warranty","1 YEAR","2009-08-30","","","","","","","","Laptop"
"","","","","","","","","GForce 8600M 256 MB VRAM","","","","","","","","","","","","","",""
"","","","","","","","","15.4"" LCD","","","","","","","","","","","","","",""
"iMac21M11a","Apple","iMac","iMac21M11a","FY2011 iMAC  21""  LCD","4 GB","500 GB","2.5 GHz quad-core Intel i5","8x  Double-Layer SuperDrive","Keyboard (Wired)","","2011-05-24","Apple Care","3 YEAR","2014-05-25","","","","","","","","Desktop"
"","","","","","","","","AMD Radeon HD 6750 512GB GDDR5","Mouse (Wired)","","","","","","","","","","","","",""
"","","","","","","","","Built-In FaceTime HD camera","","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt port","","","","","","","","","","","","","",""
"iPad2_2012_16Wa","Apple","iPad","MC769LL-A","FY2012 iPad2 WIFI 16 GB","","16 GB","","WiFi (802.11 a/b/g/n)","USB 2.0 cable","","2011-08-18","Apple Limited Warranty","1 YEAR","2012-08-17","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","10W USB Power Adapter","","","","","","","","","","","","",""
"MBP13L11c","Apple","MacBook Pro","MBP13L11c","FY2012 MacBook Pro 13 Lat 2011","4GB 1333MHz DDR3","500GB 5400RPM","2.4GHz dual-core Intel Core i5","SuperDrive","Power Adapter","","2011-12-26","Apple Limited Warranty","3 YEAR","2014-12-27","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Intel HD Graphics 3000","","","","","","","","","","","","","",""
"iPh4S_2012_32","Apple","iPhone","MC919LL-A","iPhone 4S 32 GB FY2012","","32 GB","","","USB 2.0 cable","","2011-08-23","Apple Limited Warranty","1 YEAR","2012-08-22","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"iPad3_2013_3Wb","Apple","iPad","MC706LL-A","FY2013 iPad3 WiFi  32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","USB 2.0 cable","","2012-08-13","Apple Limited Warranty","1 YEAR","2013-08-14","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","10W USB Power Adapter","","","","","","","","","","","","",""
"MBAIR11M12c","Apple","MacBook Air","MBAIR11M12c","FY2013 11 MBAir Student Model","8GB  DDR3 1600MHz","128 GB Flash Storage","1.7 GHz dual-core Intel i5","11.6 LCD","Power Adapter","","2012-09-05","Apple Limited Warranty","3 YEAR","2015-09-06","","","","","","","","Laptop"
"","","","","","","","","Thunderbolt Port","Video Adapter","","","","","","","","","","","","",""
